user_id,recomendations
1,"[1082185, 995242, 840361, 940947, 5978656]"
2,"[1106523, 1133018, 940947, 951590, 5569230]"
3,"[1082185, 1106523, 1133018, 951590, 1092026]"
4,"[1029743, 883404, 1044078, 5569230, 962229]"
5,"[1096036, 1126899, 5568378, 834484, 961554]"
6,"[1082185, 845208, 5569230, 849843, 840361]"
7,"[1082185, 1106523, 1022003, 5568378, 1126899]"
8,"[1082185, 1106523, 5569230, 1133018, 5569471]"
9,"[1029743, 1070820, 849843, 962229, 5569230]"
10,"[1082185, 6534178, 899624, 1106523, 868764]"
11,"[1082185, 6534178, 995242, 1005186, 908318]"
12,"[981760, 1056509, 862349, 1040807, 866211]"
13,"[6534178, 1029743, 995242, 923746, 951590]"
14,"[6534178, 1029743, 1022003, 844165, 951590]"
15,"[1082185, 995242, 1029743, 923746, 1070820]"
16,"[1082185, 6534178, 1029743, 995242, 1106523]"
17,"[1082185, 6534178, 995242, 962568, 995785]"
18,"[1082185, 995242, 840361, 976199, 6533889]"
19,"[6534178, 1029743, 995242, 1106523, 962229]"
20,"[6534178, 883404, 1058997, 840361, 1126899]"
21,"[6534178, 1029743, 1106523, 1033615, 1096036]"
22,"[1082185, 6534178, 1070820, 5978648, 862349]"
23,"[6534178, 1029743, 995242, 951590, 981760]"
24,"[1106523, 1133018, 883404, 908531, 844165]"
25,"[1082185, 995242, 1029743, 1106523, 1133018]"
26,"[1029743, 995242, 923746, 1013321, 849843]"
27,"[1082185, 1077555, 1076056, 5978656, 833025]"
28,"[6534178, 940947, 903325, 1075368, 1005186]"
29,"[995242, 1029743, 1033615, 883404, 1044078]"
30,"[6534178, 923746, 1106523, 903325, 1005186]"
31,"[6534178, 1070820, 5978648, 1058997, 1126899]"
32,"[6534178, 1058997, 6034857, 862349, 840361]"
33,"[6534178, 1106523, 1096036, 871756, 1005186]"
34,"[6534178, 883404, 999971, 1065593, 6533765]"
35,"[6534178, 1029743, 1058997, 908531, 940947]"
36,"[995242, 1029743, 883404, 962229, 826249]"
37,"[1106523, 844165, 6533889, 1092026, 909714]"
38,"[1082185, 868764, 866211, 986947, 986912]"
39,"[1082185, 923746, 883404, 995785, 1126899]"
40,"[1082185, 6534178, 995242, 840361, 927191]"
41,"[1082185, 1058997, 913210, 981760, 849843]"
42,"[1082185, 923746, 953476, 981760, 994928]"
43,"[6534178, 1133018, 908531, 861272, 844165]"
44,"[849843, 951590, 981760, 860776, 1005186]"
45,"[1106523, 1033615, 908531, 844165, 1044078]"
46,"[1082185, 1029743, 995242, 981760, 826249]"
47,"[995242, 861272, 995785, 951590, 8090537]"
48,"[1082185, 6534178, 1106523, 6533889, 916122]"
49,"[1082185, 6534178, 962229, 1070820, 5569471]"
50,"[1106523, 1133018, 908531, 1132770, 962229]"
51,"[1029743, 965766, 951590, 981760, 962229]"
52,"[1082185, 6534178, 951590, 995785, 1106523]"
53,"[6534178, 1058997, 6034857, 5569471, 999858]"
54,"[1082185, 6534178, 1029743, 995242, 908531]"
55,"[995242, 844165, 849843, 951590, 871756]"
56,"[1082185, 981760, 5569230, 1058997, 940947]"
57,"[6534178, 995242, 1133018, 995785, 908531]"
58,"[1082185, 6534178, 995785, 1106523, 1133018]"
59,"[1133018, 995785, 981760, 845208, 1056509]"
60,"[1029743, 6534178, 1013321, 995785, 909714]"
61,"[1082185, 6534178, 1029743, 995242, 1106523]"
62,"[1082185, 6534178, 995242, 1029743, 1106523]"
63,"[1082185, 6534178, 1029743, 995242, 1106523]"
64,"[1106523, 1133018, 951590, 840361, 862349]"
65,"[1082185, 1029743, 1070820, 844165, 849843]"
66,"[1029743, 1133018, 908531, 1070015, 933835]"
67,"[6534178, 1029743, 951590, 1070820, 862349]"
68,"[1029743, 995242, 6534178, 883404, 981760]"
69,"[1106523, 1133018, 1033615, 951590, 1044078]"
70,"[1082185, 6534178, 1029743, 995242, 1106523]"
71,"[1029743, 899624, 908531, 951590, 1044078]"
72,"[1082185, 1070820, 1028816, 860776, 862349]"
73,"[1082185, 6534178, 1070820, 6533889, 1005186]"
74,"[1082185, 1106523, 1133018, 981760, 849843]"
75,"[1082185, 6534178, 995242, 1029743, 1106523]"
76,"[1058997, 883404, 845208, 6034857, 903325]"
77,"[1082185, 1106523, 981760, 1003188, 908531]"
78,"[1082185, 923746, 883404, 1003188, 981760]"
79,"[1082185, 923746, 1070820, 908531, 6533889]"
80,"[1082185, 6534178, 995242, 849843, 1005186]"
81,"[1029743, 995242, 844165, 1096036, 849843]"
82,"[1082185, 995242, 6534178, 1029743, 1106523]"
83,"[1082185, 923746, 6534178, 845208, 840361]"
84,"[1082185, 995242, 1013321, 951590, 5569471]"
85,"[6534178, 995242, 1075368, 961554, 826249]"
86,"[1082185, 1029743, 995242, 1133018, 951590]"
87,"[1082185, 979707, 1029743, 6534178, 995242]"
88,"[6534178, 981760, 883404, 953476, 962229]"
89,"[1082185, 6534178, 995242, 860776, 1027569]"
90,"[1082185, 6534178, 1029743, 995242, 1070820]"
91,"[1082185, 6534178, 1029743, 1058997, 845208]"
92,"[1082185, 923746, 1058997, 962568, 845208]"
93,"[1082185, 1058997, 861272, 6034857, 5978648]"
94,"[1082185, 979707, 6534178, 861272, 1044078]"
95,"[1082185, 995242, 1029743, 981760, 908531]"
96,"[1029743, 1106523, 1028816, 5569230, 1122358]"
97,"[1082185, 6534178, 995242, 1096036, 962229]"
98,"[862349, 994928, 1070015, 849843, 1134522]"
99,"[1082185, 1029743, 995242, 883404, 908531]"
100,"[6534178, 1003188, 908531, 981760, 849843]"
101,"[6534178, 951590, 1106523, 1133018, 6533765]"
102,"[1028816, 834484, 908846, 1053690, 983584]"
103,"[1106523, 883404, 5569471, 1092026, 826249]"
104,"[1082185, 995242, 1029743, 5569230, 5569471]"
105,"[1082185, 995242, 1106523, 1133018, 860776]"
106,"[6534178, 5569230, 849843, 6034857, 1028816]"
107,"[6534178, 1106523, 1133018, 951590, 981760]"
108,"[1082185, 6534178, 1029743, 1070820, 849843]"
109,"[1082185, 1058997, 835098, 849843, 1126899]"
110,"[6534178, 1133018, 995785, 951590, 860776]"
111,"[1106523, 1133018, 1077555, 847982, 833025]"
112,"[6534178, 1070820, 1028816, 5569471, 862349]"
113,"[1082185, 6534178, 1070820, 976199, 840361]"
114,"[6534178, 1029743, 995242, 1070820, 953476]"
115,"[6534178, 908531, 883404, 862349, 5978656]"
116,"[923746, 1133018, 908531, 849843, 5569230]"
117,"[1082185, 995242, 1058997, 951590, 1126899]"
118,"[1082185, 6534178, 995242, 1096036, 995785]"
119,"[1082185, 995242, 1029743, 908531, 981760]"
120,"[1082185, 6534178, 1029743, 995242, 1106523]"
121,"[1029743, 995242, 923746, 1033615, 849843]"
122,"[940947, 5569230, 1005186, 1065593, 916122]"
123,"[1058997, 849843, 981760, 1126899, 5569471]"
124,"[1106523, 1133018, 883404, 951590, 1092026]"
125,"[1029743, 995242, 6534178, 844165, 908531]"
126,"[1029743, 995242, 844165, 1096036, 951590]"
127,"[6534178, 995242, 1106523, 1044078, 1075368]"
128,"[1082185, 1070820, 1003188, 6534166, 903325]"
129,"[1082185, 1029743, 995242, 1058997, 834484]"
130,"[6534178, 1106523, 844165, 951590, 849843]"
131,"[1082185, 995242, 1029743, 923746, 981760]"
132,"[1082185, 1096036, 1058997, 860776, 1126899]"
133,"[1082185, 995242, 1133018, 5569230, 1062002]"
134,"[995242, 1106523, 913210, 5569230, 5569471]"
135,"[861272, 862349, 840361, 1119051, 933835]"
136,"[1106523, 1133018, 883404, 1096036, 5569230]"
137,"[1058997, 908531, 844165, 849843, 1126899]"
138,"[1082185, 1070820, 995785, 862349, 1122358]"
139,"[1082185, 6534178, 1058997, 860776, 6034857]"
140,"[1106523, 1133018, 844165, 951590, 1092026]"
141,"[995785, 834484, 6534166, 824005, 951412]"
142,"[1082185, 1058997, 953476, 1070015, 913785]"
143,"[6534178, 995242, 1106523, 1133018, 908531]"
144,"[1106523, 1033615, 883404, 849843, 845208]"
145,"[1082185, 1029743, 1058997, 1044078, 1126899]"
146,"[6534178, 1029743, 995242, 1126899, 896369]"
147,"[6534178, 1106523, 1133018, 1003188, 908531]"
148,"[1082185, 995242, 883404, 951590, 5569230]"
149,"[1082185, 6534178, 962568, 981760, 862349]"
150,"[1082185, 1029743, 995242, 908531, 870547]"
151,"[995242, 1126899, 5569230, 6533889, 1005186]"
152,"[1082185, 981760, 914190, 962568, 1013321]"
153,"[1058997, 981760, 1026118, 5978656, 859075]"
154,"[923746, 965766, 1133018, 844165, 995785]"
155,"[1029743, 883404, 951590, 1075368, 908318]"
156,"[1082185, 6534178, 908531, 951590, 1075368]"
157,"[1082185, 1070820, 1058997, 844165, 981760]"
158,"[1082185, 995242, 1070820, 981760, 994928]"
159,"[923746, 1106523, 883404, 1096036, 994928]"
160,"[1070820, 962568, 962229, 6034857, 1101010]"
161,"[995242, 1022003, 868764, 5568378, 999971]"
162,"[1029743, 1070820, 995785, 981760, 834484]"
163,"[923746, 844165, 1132770, 860776, 5978656]"
164,"[6534178, 1029743, 995242, 883404, 981760]"
165,"[1082185, 6534178, 1070820, 995785, 849843]"
166,"[1029743, 1106523, 1133018, 951590, 5569230]"
167,"[995242, 908531, 995785, 1043751, 5569230]"
168,"[1082185, 1029743, 995785, 961554, 885290]"
169,"[1082185, 6534178, 1029743, 995242, 1106523]"
170,"[1082185, 1070820, 1058997, 1126899, 901062]"
171,"[1029743, 908531, 913210, 1044078, 5592931]"
172,"[6534178, 849843, 5569230, 953476, 994928]"
173,"[1082185, 6534178, 1070820, 914190, 1056509]"
174,"[1043590, 1133018, 883404, 835098, 1096036]"
175,"[1106523, 1058997, 5569230, 845208, 860776]"
176,"[6534178, 1106523, 1133018, 883404, 1132770]"
177,"[1082185, 6534178, 1058997, 849843, 1126899]"
178,"[1106523, 1092026, 5978656, 1048462, 8090521]"
179,"[951590, 962229, 5569230, 1038217, 847982]"
180,"[899624, 1029743, 908531, 5569230, 927191]"
181,"[1082185, 6534178, 995242, 951590, 962229]"
182,"[1133018, 883404, 1044078, 981760, 849843]"
183,"[1106523, 1028816, 860776, 999971, 908846]"
184,"[6534178, 923746, 981760, 845208, 5978656]"
185,"[1029743, 6534178, 868764, 844165, 995785]"
186,"[1082185, 6534178, 1029743, 995242, 1106523]"
187,"[1082185, 1133018, 908531, 5569230, 951590]"
188,"[923746, 1106523, 1033615, 1133018, 844165]"
189,"[965766, 951590, 1043751, 1005186, 933835]"
190,"[995785, 951590, 903325, 951412, 857849]"
191,"[1082185, 6534178, 1029743, 965766, 914190]"
192,"[995242, 1029743, 5569230, 981760, 826249]"
193,"[6534178, 1029743, 995242, 908531, 8090537]"
194,"[1133018, 995785, 834484, 903325, 962229]"
195,"[1082185, 6534178, 1029743, 995242, 953476]"
196,"[1106523, 1133018, 883404, 962229, 5569230]"
197,"[1082185, 965766, 844165, 951590, 1126899]"
198,"[995242, 1029743, 1106523, 1133018, 883404]"
199,"[995242, 1058997, 861272, 1070015, 1005186]"
200,"[883404, 1126899, 5568378, 1122358, 983584]"
201,"[1082185, 995242, 1133018, 5568378, 6034857]"
202,"[1029743, 849843, 962229, 5569230, 6533889]"
203,"[6534178, 1029743, 1070820, 1058997, 849843]"
204,"[923746, 1070820, 6034857, 847982, 1005186]"
205,"[1082185, 1106523, 981760, 845208, 1028816]"
206,"[1106523, 1133018, 1033615, 908531, 883404]"
207,"[976199, 1058997, 995785, 834484, 1026118]"
208,"[1082185, 6534178, 951590, 1070820, 1133018]"
209,"[6534178, 1029743, 995242, 923746, 1058997]"
210,"[1082185, 1106523, 849843, 860776, 860975]"
211,"[1082185, 1133018, 844165, 951590, 962229]"
212,"[1082185, 995242, 1029743, 951590, 860776]"
213,"[868764, 951590, 1044078, 5568378, 1038217]"
214,"[1082185, 1058997, 860776, 1126899, 862349]"
215,"[1082185, 995785, 981760, 994928, 1005186]"
216,"[1022003, 916122, 1005186, 1040807, 820165]"
217,"[1082185, 6534178, 995242, 951590, 995785]"
218,"[6534178, 995242, 962568, 860776, 834484]"
219,"[1082185, 951590, 981760, 5569471, 862349]"
220,"[995242, 6534178, 6034857, 6534166, 847982]"
221,"[995242, 1133018, 883404, 981760, 1043751]"
222,"[1082185, 6534178, 1058997, 860776, 916122]"
223,"[1029743, 883404, 844165, 1033615, 951590]"
224,"[1029743, 995242, 1106523, 1133018, 908531]"
225,"[1029743, 1133018, 951590, 834484, 1065593]"
226,"[6534178, 1029743, 995242, 1056509, 1065593]"
227,"[1082185, 6534178, 1058997, 908531, 5978648]"
228,"[1082185, 6534178, 1058997, 1126899, 5569471]"
229,"[1029743, 995242, 5569230, 5978648, 833025]"
230,"[6534178, 1029743, 995242, 883404, 1044078]"
231,"[1082185, 6534178, 1029743, 995242, 908531]"
232,"[1082185, 6534178, 1029743, 995242, 923746]"
233,"[1082185, 6534178, 1029743, 995242, 1106523]"
234,"[923746, 1106523, 868764, 1133018, 908531]"
235,"[1082185, 6534178, 995785, 1070820, 862349]"
236,"[981760, 1126899, 5569471, 1075368, 5978656]"
237,"[1029743, 965766, 883404, 914190, 849843]"
238,"[1082185, 1106523, 868764, 1044078, 1075368]"
239,"[1133018, 860776, 834484, 1120741, 999971]"
240,"[1082185, 6534178, 1029743, 995242, 1106523]"
241,"[995785, 1028816, 5569230, 860776, 1026118]"
242,"[1029743, 995785, 883404, 903325, 849843]"
243,"[6534178, 860776, 6034857, 1126899, 909714]"
244,"[1082185, 1133018, 913210, 849843, 1070015]"
245,"[6534178, 1029743, 995242, 923746, 908531]"
246,"[1070820, 849843, 951590, 862349, 896369]"
247,"[1082185, 1133018, 995785, 849843, 1077555]"
248,"[1082185, 1029743, 860776, 1058997, 840361]"
249,"[995242, 1029743, 965766, 883404, 908531]"
250,"[1029743, 995242, 951590, 1056509, 1101010]"
251,"[995242, 1070820, 883404, 951590, 1132770]"
252,"[1082185, 6534178, 1029743, 995242, 1106523]"
253,"[923746, 951590, 1133018, 1106523, 1033615]"
254,"[1022003, 1106523, 845208, 1022254, 990797]"
255,"[979707, 1029743, 1013321, 951590, 5569230]"
256,"[962229, 5569230, 5568378, 5978648, 862349]"
257,"[1106523, 1133018, 883404, 1033615, 962229]"
258,"[995242, 1070820, 849843, 860776, 1120741]"
259,"[953476, 940947, 976998, 8090537, 1039156]"
260,"[1070820, 1028816, 981760, 962229, 860776]"
261,"[6534178, 995242, 951590, 5568378, 1092026]"
262,"[1082185, 1058997, 981760, 849843, 1101010]"
263,"[1082185, 995242, 1029743, 951590, 1044078]"
264,"[6534178, 849843, 962568, 961554, 987562]"
265,"[923746, 1058997, 908531, 5978648, 834484]"
266,"[1082185, 1058997, 981760, 1126899, 5569471]"
267,"[1082185, 6534178, 1029743, 995242, 1106523]"
268,"[995242, 923746, 1058997, 5569230, 999971]"
269,"[1106523, 965766, 1133018, 981760, 962229]"
270,"[1106523, 1058997, 5569230, 5569471, 1065593]"
271,"[1058997, 883404, 1126899, 1005186, 976998]"
272,"[1082185, 6534178, 1029743, 995242, 1106523]"
273,"[1106523, 883404, 1096036, 840361, 1005186]"
274,"[979707, 1106523, 883404, 995785, 1070015]"
275,"[1082185, 6534178, 1106523, 1133018, 849843]"
276,"[6534178, 995242, 951590, 1022003, 860776]"
277,"[1029743, 908531, 849843, 845208, 962229]"
278,"[883404, 861272, 995785, 999971, 824005]"
279,"[1029743, 995242, 6534178, 962568, 994928]"
280,"[6534178, 923746, 1022003, 1106523, 1133018]"
281,"[1082185, 1070820, 908531, 995785, 981760]"
282,"[6534178, 995242, 923746, 995785, 860776]"
283,"[1082185, 1070820, 981760, 5569471, 862349]"
284,"[1029743, 883404, 1075368, 885290, 826249]"
285,"[1082185, 995242, 923746, 6534178, 1043590]"
286,"[1082185, 5569230, 901062, 866211, 1119051]"
287,"[6534178, 1106523, 1133018, 1033615, 861272]"
288,"[1082185, 6534178, 1070820, 995785, 845208]"
289,"[1082185, 981760, 860776, 6533889, 961554]"
290,"[995242, 1029743, 923746, 962229, 1120741]"
291,"[1106523, 1133018, 1033615, 844165, 1132770]"
292,"[995242, 1106523, 1133018, 844165, 913210]"
293,"[979707, 995242, 1133018, 995785, 981760]"
294,"[1106523, 1133018, 995785, 860776, 908531]"
295,"[1082185, 1029743, 994928, 826249, 878996]"
296,"[1082185, 6534178, 1029743, 995242, 1106523]"
297,"[1082185, 995242, 1029743, 883404, 844165]"
298,"[1106523, 962229, 5568378, 847982, 1065593]"
299,"[1082185, 6534178, 1029743, 995242, 1106523]"
300,"[1029743, 923746, 1106523, 962229, 981760]"
301,"[1082185, 995242, 1029743, 6034857, 940947]"
302,"[1070820, 903325, 961554, 5569327, 1102959]"
303,"[1082185, 6534178, 995242, 951590, 908531]"
304,"[1082185, 6534178, 995242, 1029743, 923746]"
305,"[6534178, 995242, 844165, 861272, 5978648]"
306,"[6534178, 995242, 1029743, 923746, 962229]"
307,"[6534178, 981760, 845208, 1096036, 994928]"
308,"[6534178, 1058997, 883404, 5569230, 995785]"
